"","item_id","dept_id","cat_id","store_id","state_id"
"1","HOBBIES_1_001","HOBBIES_1","HOBBIES","CA_1","CA"
"2","HOBBIES_1_002","HOBBIES_1","HOBBIES","CA_1","CA"
"3","HOBBIES_1_003","HOBBIES_1","HOBBIES","CA_1","CA"
"4","HOBBIES_1_004","HOBBIES_1","HOBBIES","CA_1","CA"
"5","HOBBIES_1_005","HOBBIES_1","HOBBIES","CA_1","CA"
"6","HOBBIES_1_006","HOBBIES_1","HOBBIES","CA_1","CA"
"7","HOBBIES_1_007","HOBBIES_1","HOBBIES","CA_1","CA"
"8","HOBBIES_1_008","HOBBIES_1","HOBBIES","CA_1","CA"
"9","HOBBIES_1_009","HOBBIES_1","HOBBIES","CA_1","CA"
"10","HOBBIES_1_010","HOBBIES_1","HOBBIES","CA_1","CA"
"11","HOBBIES_1_011","HOBBIES_1","HOBBIES","CA_1","CA"
"12","HOBBIES_1_012","HOBBIES_1","HOBBIES","CA_1","CA"
"13","HOBBIES_1_013","HOBBIES_1","HOBBIES","CA_1","CA"
"14","HOBBIES_1_014","HOBBIES_1","HOBBIES","CA_1","CA"
"15","HOBBIES_1_015","HOBBIES_1","HOBBIES","CA_1","CA"
"16","HOBBIES_1_016","HOBBIES_1","HOBBIES","CA_1","CA"
"17","HOBBIES_1_017","HOBBIES_1","HOBBIES","CA_1","CA"
"18","HOBBIES_1_018","HOBBIES_1","HOBBIES","CA_1","CA"
"19","HOBBIES_1_019","HOBBIES_1","HOBBIES","CA_1","CA"
"20","HOBBIES_1_020","HOBBIES_1","HOBBIES","CA_1","CA"
"21","HOBBIES_1_021","HOBBIES_1","HOBBIES","CA_1","CA"
"22","HOBBIES_1_022","HOBBIES_1","HOBBIES","CA_1","CA"
"23","HOBBIES_1_023","HOBBIES_1","HOBBIES","CA_1","CA"
"24","HOBBIES_1_024","HOBBIES_1","HOBBIES","CA_1","CA"
"25","HOBBIES_1_025","HOBBIES_1","HOBBIES","CA_1","CA"
"26","HOBBIES_1_026","HOBBIES_1","HOBBIES","CA_1","CA"
"27","HOBBIES_1_027","HOBBIES_1","HOBBIES","CA_1","CA"
"28","HOBBIES_1_028","HOBBIES_1","HOBBIES","CA_1","CA"
"29","HOBBIES_1_029","HOBBIES_1","HOBBIES","CA_1","CA"
"30","HOBBIES_1_030","HOBBIES_1","HOBBIES","CA_1","CA"
"31","HOBBIES_1_031","HOBBIES_1","HOBBIES","CA_1","CA"
"32","HOBBIES_1_032","HOBBIES_1","HOBBIES","CA_1","CA"
"33","HOBBIES_1_033","HOBBIES_1","HOBBIES","CA_1","CA"
"34","HOBBIES_1_034","HOBBIES_1","HOBBIES","CA_1","CA"
"35","HOBBIES_1_035","HOBBIES_1","HOBBIES","CA_1","CA"
"36","HOBBIES_1_036","HOBBIES_1","HOBBIES","CA_1","CA"
"37","HOBBIES_1_037","HOBBIES_1","HOBBIES","CA_1","CA"
"38","HOBBIES_1_038","HOBBIES_1","HOBBIES","CA_1","CA"
"39","HOBBIES_1_039","HOBBIES_1","HOBBIES","CA_1","CA"
"40","HOBBIES_1_040","HOBBIES_1","HOBBIES","CA_1","CA"
"41","HOBBIES_1_041","HOBBIES_1","HOBBIES","CA_1","CA"
"42","HOBBIES_1_042","HOBBIES_1","HOBBIES","CA_1","CA"
"43","HOBBIES_1_043","HOBBIES_1","HOBBIES","CA_1","CA"
"44","HOBBIES_1_044","HOBBIES_1","HOBBIES","CA_1","CA"
"45","HOBBIES_1_045","HOBBIES_1","HOBBIES","CA_1","CA"
"46","HOBBIES_1_046","HOBBIES_1","HOBBIES","CA_1","CA"
"47","HOBBIES_1_047","HOBBIES_1","HOBBIES","CA_1","CA"
"48","HOBBIES_1_048","HOBBIES_1","HOBBIES","CA_1","CA"
"49","HOBBIES_1_049","HOBBIES_1","HOBBIES","CA_1","CA"
"50","HOBBIES_1_050","HOBBIES_1","HOBBIES","CA_1","CA"
"51","HOBBIES_1_051","HOBBIES_1","HOBBIES","CA_1","CA"
"52","HOBBIES_1_052","HOBBIES_1","HOBBIES","CA_1","CA"
"53","HOBBIES_1_053","HOBBIES_1","HOBBIES","CA_1","CA"
